fct_name,fct_type
saxpy,s
scopy,s
sswap,s
sscal,s
sdot,s
srot,s
srotmg,s
sgemv,s
sger,s
sgbmv,s
ssbmv,s
srotg,s
snrm2,s
sasum,s
isamax,s
isamin,s
ismax,s
ismin,s
srotm,s
sdsdot,s
ssum,s
strmv,s
strmm,s
strsv,s
strsm,s
sgemm,s
sspmv,s
sspr,s
sspr2,s
stpsv,s
stpmv,s
stbsv,s
stbmv,s
scasum,s
scsum,s
scnrm2,s
ssymv,s
ssymm,s
ssyrk,s
ssyr2k,s
ssyr,s
ssyr2,s
dsdot,s
daxpy,d
dcopy,d
dswap,d
dscal,d
ddot,d
drot,d
drotg,d
drotm,d
drotmg,d
dgemv,d
dger,d
dgbmv,d
dnrm2,d
dasum,d
idamax,d
idamin,d
idmax,d
idmin,d
dsbmv,d
dsum,d
dtrmv,d
dtrsv,d
dtrmm,d
dtrsm,d
dgemm,d
dspmv,d
dspr,d
dspr2,d
dtpsv,d
dtpmv,d
dtbsv,d
dtbmv,d
dsymv,d
dsymm,d
dsyrk,d
dsyr2k,d
dsyr,d
dsyr2,d
caxpy,c
ccopy,c
cscal,c
cdotu,c
cgemv,c
cgeru,c
icamax,c
icamin,c
icmax,c
icmin,c
cgerc,c
cgbmv,c
cswap,c
csscal,c
cdotc,c
ctrmv,c
ctrsv,c
ctrmm,c
ctrsm,c
cgemm,c
cgemm3m,c
csrot,c
ctpsv,c
ctpmv,c
ctbsv,c
ctbmv,c
crotg,c
cher2,c
chemv,c
chpr,c
chpr2,c
chbmv,c
chpmv,c
cher,c
chemm,c
cherk,c
cher2k,c
csymm,c
csyrk,c
csyr2k,c
zaxpy,z
zcopy,z
zswap,z
zscal,z
zdotu,z
zdotc,z
dznrm2,z
dzasum,z
izamax,z
izamin,z
izmax,z
izmin,z
zrotg,z
zgemv,z
zgeru,z
zgerc,z
zgbmv,z
dzsum,z
ztrmv,z
ztrsv,z
ztrmm,z
ztrsm,z
zdscal,z
zdrot,z
zgemm,z
zgemm3m,z
ztbmv,z
ztpsv,z
ztbsv,z
ztpmv,z
zhemv,z
zhpr,z
zhpr2,z
zhbmv,z
zhpmv,z
zher,z
zhemm,z
zherk,z
zher2k,z
zsymm,z
zsyrk,z
zsyr2k,z
zher2,z
